/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


1018	 6.995	0.01942733862	0.00883915462	0.00090287800	1.69931602478
1018	 6.996	0.01944060065	0.01056371722	0.00090425287	1.69926989079
1018	 6.995	0.01942947321	0.02969765104	0.00091205357	1.69929754734
1018	 6.996	0.01943529211	0.03567466885	0.00092441629	1.69926702976
1018	 6.996	0.01943441853	0.03451809287	0.00092434016	1.69935798645
1018	 6.995	0.01942682080	0.03926596045	0.00092820125	1.69936561584
1018	 6.996	0.01943898946	0.08504385501	0.00094896916	1.69934225082
1018	 6.996	0.01942181401	0.14224930108	0.00095785508	1.69935429096
1018	 6.996	0.01941940747	0.15544286370	0.00095870515	1.69935095310
1018	 6.996	0.01942416094	0.19130763412	0.00096037146	1.69931185246
1018	 6.996	0.01942964271	0.19806431234	0.00095962122	1.69935786724
1018	 6.996	0.01943865046	0.19991272688	0.00096013141	1.69932067394
1018	 6.996	0.01942634955	0.20300088823	0.00096058560	1.69931840897
1018	 6.996	0.01941999793	0.22974279523	0.00096454314	1.69937837124
1018	 6.997	0.01943858154	0.30391091108	0.00096694089	1.69936585426
1018	 6.996	0.01942157559	0.37548664212	0.00096694200	1.69934964180
1018	 6.997	0.01942790113	0.41572430730	0.00096713647	1.69934964180
1018	 6.996	0.01943353005	0.42210322618	0.00096732512	1.69937789440
1018	 6.996	0.01942130551	0.45419898629	0.00096747762	1.69940853119
1018	 6.997	0.01942348294	0.59237462282	0.00096613541	1.69940137863
1018	 6.997	0.01942462474	0.64819651842	0.00096765609	1.69937598705
1018	 6.997	0.01941994019	0.64659506083	0.00096781866	1.69939768314
1018	 6.997	0.01942939125	0.64768898487	0.00096798030	1.69940519333
1018	 6.997	0.01943035796	0.71629565954	0.00096796796	1.69940841198
1018	 6.997	0.01941260695	0.79540884495	0.00096798822	1.69940960407
1017	 6.997	0.01941808313	1.04167580605	0.00097190205	1.69946432114
1018	 6.997	0.01941892691	1.03289008141	0.00096905924	1.69944679737
1018	 6.997	0.01942264475	1.12470471859	0.00096833910	1.69944798946
1018	 6.997	0.01941232570	1.18759965897	0.00096916559	1.69943416119
1018	 6.997	0.01942248642	1.23900187016	0.00096928218	1.69943034649
1018	 6.997	0.01941481419	1.42177879810	0.00097192754	1.69949257374
1018	 6.997	0.01942730136	1.45935511589	0.00097017252	1.69945704937
1018	 6.997	0.01941980794	1.55445873737	0.00098508422	1.69948172569
1018	 6.997	0.01942322962	1.65138852596	0.00096913968	1.69948911667
1018	 6.997	0.01942389458	1.72503256798	0.00097135565	1.69946289063
1018	 6.997	0.01941146329	1.78983891010	0.00097165286	1.69948065281
1018	 6.997	0.01941591874	1.84035944939	0.00097164290	1.69950151443
1018	 6.997	0.01941406913	1.93172037601	0.00097215205	1.69949710369
1018	 6.997	0.01943118870	2.08356547356	0.00097170228	1.69951927662
1018	 6.997	0.01942350529	2.21900606155	0.00097272481	1.69949460030
1018	 6.997	0.01941296086	2.38299465179	0.00097380701	1.69949889183
1018	 6.997	0.01941929385	2.51361846924	0.00098454917	1.69956040382
1018	 6.997	0.01943132840	2.62511730194	0.00097437401	1.69950687885
1018	 6.997	0.01941680722	2.85224270821	0.00097529136	1.69949603081
1018	 6.997	0.01942583919	2.96731066704	0.00097557949	1.69954216480
1018	 6.997	0.01941952482	2.76575398445	0.00095828110	1.69954979420
1018	 6.997	0.01941843145	2.66670155525	0.00097452733	1.69959247112
1018	 6.998	0.01942090131	2.51765298843	0.00097374432	1.69960820675
1018	 6.997	0.01942341588	2.39543414116	0.00097361061	1.69951593876
1018	 6.998	0.01942577772	2.21180391312	0.00097298261	1.69953262806
1018	 6.998	0.01941749640	2.08719182014	0.00097246218	1.69955837727
1018	 6.998	0.01940890215	1.91625523567	0.00097198784	1.69956338406
1018	 6.998	0.01940888725	1.79828441143	0.00095906889	1.69958412647
1018	 6.998	0.01940301247	1.58781909943	0.00097140705	1.69956576824
1018	 6.998	0.01940049790	1.58428370953	0.00097150117	1.69958341122
1018	 6.998	0.01939755306	1.47959983349	0.00097167050	1.69963181019
1018	 6.998	0.01941195875	1.03564453125	0.00096982945	1.69959688187
1018	 6.998	0.01940920018	0.82839477062	0.00095939561	1.69958519936
1018	 6.998	0.01940494590	0.61966824532	0.00096856989	1.69955909252
1018	 6.998	0.01940680481	0.48669561744	0.00096881896	1.69953286648
1018	 6.999	0.01941278949	0.23260857165	0.00095639908	1.69958341122
1018	 6.999	0.01939888671	0.19009068608	0.00096177071	1.69960713387
1018	 6.999	0.01939747483	0.03990758210	0.00093185646	1.69962620735
1018	 6.999	0.01939839683	-0.00058339693	0.00090264622	1.69968831539
1018	 6.999	0.01938780397	-0.00058475719	0.00090353220	1.69966673851
1018	 6.999	0.01939441636	-0.00058480207	0.00090365775	1.69964051247
