/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


673	 3.876	0.14476822317	-0.00058570737	-0.00011681865	1.65497148037
673	 3.871	0.14404958487	-0.00058606843	-0.00011655848	1.65494787693
672	 3.872	0.14449585974	-0.00058601465	-0.00011692181	1.65495026112
672	 3.868	0.14403486252	0.18572872877	-0.00011664146	1.65499353409
672	 3.878	0.14361600578	0.22224000096	-0.00011890447	1.65504014492
672	 3.880	0.14352026582	0.24195408821	-0.00011640820	1.65502023697
672	 3.882	0.14347559214	0.24123302102	-0.00011592487	1.65504717827
672	 3.884	0.14349502325	0.29281860590	-0.00011538884	1.65506362915
672	 3.883	0.14355289936	0.32694402337	-0.00011642503	1.65509164333
671	 3.880	0.14389468729	0.34287077188	-0.00011563667	1.65512228012
672	 3.868	0.14497980475	0.37237313390	-0.00011628148	1.65512764454
672	 3.866	0.14441810548	0.42903339863	-0.00011545500	1.65510809422
671	 3.869	0.14405423403	0.51922899485	-0.00011590132	1.65507304668
672	 3.875	0.14389036596	0.54282695055	-0.00011584188	1.65506935120
671	 3.881	0.14350795746	0.62752765417	-0.00011553237	1.65509736538
672	 3.885	0.14320398867	0.64318221807	-0.00011578020	1.65507507324
671	 3.888	0.14324414730	0.71242475510	-0.00011577796	1.65501511097
671	 3.888	0.14326886833	0.85417908430	-0.00011473952	1.65508246422
671	 3.885	0.14337880909	0.92683172226	-0.00011470812	1.65509366989
671	 3.888	0.14363817871	0.98425567150	-0.00011477541	1.65514457226
671	 3.876	0.14411394298	1.02706718445	-0.00011536078	1.65519499779
671	 3.877	0.14370958507	1.03409564495	-0.00011501315	1.65514135361
671	 3.884	0.14340931177	1.05002784729	-0.00011549424	1.65516448021
671	 3.887	0.14337167144	1.10555648804	-0.00011511295	1.65517568588
671	 3.888	0.14329348505	1.15391910076	-0.00011482251	1.65513360500
670	 3.885	0.14385792613	1.27908873558	-0.00011532378	1.65517604351
670	 3.882	0.14369289577	1.37593173981	-0.00011158947	1.65516722202
670	 3.883	0.14338485897	1.42365539074	-0.00010517050	1.65517151356
670	 3.886	0.14353933930	1.44862866402	-0.00010224026	1.65514731407
670	 3.878	0.14458912611	1.49519217014	-0.00009288768	1.65513479710
670	 3.872	0.14402201772	1.49344766140	-0.00009003931	1.65517079830
670	 3.878	0.14365173876	1.50396156311	-0.00008640256	1.65523982048
670	 3.881	0.14347311854	1.56221997738	-0.00006198046	1.65515267849
669	 3.885	0.14311611652	1.59826445580	-0.00003986959	1.65525174141
670	 3.891	0.14276486635	1.67557621002	0.00005042654	1.65521502495
670	 3.898	0.14255714417	1.72635924816	0.00009365587	1.65519452095
669	 3.899	0.14270694554	1.78276646137	0.00014431006	1.65523982048
669	 3.893	0.14317160845	1.81009006500	0.00017457693	1.65524411201
669	 3.892	0.14290508628	1.86725819111	0.00024233597	1.65533113480
669	 3.892	0.14287684858	1.92332541943	0.00029552341	1.65529191494
669	 3.895	0.14270868897	1.94965755939	0.00032134063	1.65525400639
669	 3.899	0.14237956703	2.03288722038	0.00039126963	1.65522444248
669	 3.899	0.14323616028	2.08144569397	0.00041774177	1.65522205830
