/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


316	 3.309	0.21110358834	-0.00058666151	-0.00011671764	1.65824532509
316	 3.309	0.21111907065	-0.00058648101	-0.00011682529	1.65827000141
315	 3.309	0.21127045155	-0.00058640586	-0.00011698566	1.65818083286
315	 3.308	0.21124550700	0.07685714960	-0.00010936453	1.65824651718
315	 3.308	0.21133731306	0.15443710983	-0.00011685221	1.65828192234
315	 3.307	0.21143278480	0.19832697511	-0.00011712135	1.65821135044
315	 3.307	0.21143102646	0.20304062963	-0.00011653709	1.65820920467
315	 3.307	0.21153423190	0.27926781774	-0.00011686792	1.65819168091
315	 3.306	0.21150416136	0.34358376265	-0.00011649673	1.65817224979
314	 3.306	0.21159885824	0.38363957405	-0.00011617151	1.65818035603
315	 3.306	0.21171189845	0.43706542253	-0.00011615581	1.65831899643
314	 3.306	0.21164323390	0.51389658451	-0.00011664812	1.65825247765
314	 3.306	0.21177153289	0.58818036318	-0.00011484263	1.65816843510
314	 3.305	0.21171279252	0.64320063591	-0.00011728171	1.65819454193
314	 3.305	0.21175956726	0.71636772156	-0.00011541343	1.65828573704
314	 3.305	0.21181078255	0.87566304207	-0.00011578910	1.65829539299
314	 3.305	0.21178701520	1.04234683514	-0.00011544595	1.65828895569
313	 3.305	0.21188323200	1.13444089890	-0.00011532259	1.65825188160
314	 3.304	0.21190226078	1.22612071037	-0.00011528446	1.65828096867
314	 3.304	0.21191573143	1.43959009647	-0.00011378962	1.65826535225
314	 3.303	0.21197214723	1.53699767590	-0.00011430883	1.65818607807
314	 3.303	0.21189665794	1.64820885658	-0.00010785845	1.65829503536
313	 3.303	0.21196353436	1.67752707005	-0.00009818512	1.65826892853
314	 3.303	0.21192094684	1.73271584511	-0.00008715935	1.65834641457
313	 3.304	0.21187922359	1.80081427097	-0.00006555640	1.65827596188
313	 3.304	0.21189782023	1.86230051517	-0.00002738230	1.65828669071
313	 3.304	0.21176014841	1.91866099834	0.00001025354	1.65836369991
313	 3.305	0.21164542437	2.03763628006	0.00012925708	1.65838634968
313	 3.306	0.21133142710	2.15157175064	0.00021484122	1.65836453438
312	 3.307	0.21125145257	2.21086907387	0.00028880531	1.65843427181
313	 3.308	0.21106661856	2.38877391815	0.00040913664	1.65832400322
313	 3.310	0.21085356176	2.47947192192	0.00042738320	1.65833353996
313	 3.311	0.21087668836	2.63218426704	0.00043562113	1.65829646587
313	 3.311	0.21087577939	2.75084352493	0.00043819597	1.65838968754
313	 3.311	0.21087951958	2.79147624969	0.00043842362	1.65836429596
313	 3.311	0.21095678210	2.83330416679	0.00043948001	1.65844309330
313	 3.311	0.21091613173	2.88388919830	0.00044002503	1.65842127800
312	 3.311	0.21094551682	2.93651151657	0.00044063156	1.65844190121
313	 3.310	0.21098709106	2.96145606041	0.00044092097	1.65842413902
312	 3.310	0.21096104383	2.85098910332	0.00043963245	1.65842652321
312	 3.310	0.21104049683	2.75070905685	0.00043832036	1.65845215321
313	 3.310	0.21093864739	2.71760845184	0.00043779553	1.65845525265
312	 3.310	0.21104694903	2.63834762573	0.00043617180	1.65849411488
313	 3.310	0.21104057133	2.52910184860	0.00043161662	1.65846621990
312	 3.310	0.21102838218	2.42751741409	0.00041931917	1.65844714642
312	 3.310	0.21116712689	2.32391381264	0.00037948421	1.65852200985
313	 3.309	0.21124503016	2.21973466873	0.00029046959	1.65852355957
312	 3.308	0.21133804321	2.08546042442	0.00016232768	1.65853345394
312	 3.306	0.21171775460	1.96392440796	0.00008536827	1.65849399567
312	 3.305	0.21186816692	1.91405844688	0.00002826016	1.65847539902
312	 3.304	0.21212436259	1.75840342045	-0.00005626208	1.65849220753
312	 3.302	0.21225176752	1.62797665596	-0.00010063651	1.65850770473
312	 3.302	0.21235333383	1.46684408188	-0.00011508147	1.65852415562
312	 3.301	0.21239216626	1.29293191433	-0.00011437386	1.65851533413
312	 3.301	0.21237978339	1.11224615574	-0.00011566797	1.65851855278
312	 3.300	0.21253588796	0.95270770788	-0.00011534501	1.65856134892
312	 3.300	0.21248228848	0.86560785770	-0.00011586310	1.65863311291
311	 3.300	0.21249295771	0.68439841270	-0.00011578123	1.65872228146
312	 3.300	0.21253134310	0.50536996126	-0.00011640810	1.65866708755
312	 3.300	0.21251890063	0.32599806786	-0.00011661107	1.65861630440
311	 3.300	0.21258807182	0.23082599044	-0.00011694189	1.65865004063
312	 3.299	0.21251590550	0.18332964182	-0.00011704505	1.65869426727
311	 3.299	0.21254910529	0.09022810310	-0.00011687459	1.65868651867
312	 3.299	0.21260775626	0.03449268267	-0.00011656956	1.65868175030
312	 3.299	0.21256066859	-0.00058446871	-0.00011691271	1.65872848034
