/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


255	 3.162	0.23414492607	-0.00058652810	-0.00011668063	1.65902769566
254	 3.163	0.23415228724	-0.00058657746	-0.00011669072	1.65902948380
253	 3.162	0.23441065848	0.04321257398	-0.00011663129	1.65910089016
254	 3.161	0.23437471688	0.12656694651	-0.00011690940	1.65910530090
254	 3.162	0.23427432775	0.12969218194	-0.00011662793	1.65906131268
253	 3.162	0.23451979458	0.20198385417	-0.00011709220	1.65903043747
254	 3.161	0.23451989889	0.28620943427	-0.00011681856	1.65898942947
254	 3.161	0.23445707560	0.31685405970	-0.00011676810	1.65903913975
253	 3.161	0.23463928699	0.42065042257	-0.00011684885	1.65906262398
253	 3.160	0.23471193016	0.48179695010	-0.00011643168	1.65906393528
253	 3.160	0.23456801474	0.48063892126	-0.00011666382	1.65909945965
253	 3.160	0.23466101289	0.52885991335	-0.00011594499	1.65909421444
253	 3.160	0.23482695222	0.63908618689	-0.00011530803	1.65913641453
253	 3.159	0.23463585973	0.71433216333	-0.00011623993	1.65912997723
252	 3.160	0.23478358984	0.82287728786	-0.00011576670	1.65908169746
252	 3.159	0.23495136201	0.96247112751	-0.00011577903	1.65895962715
253	 3.159	0.23475508392	1.02542722225	-0.00011489200	1.65904080868
252	 3.159	0.23481459916	1.12438130379	-0.00011546280	1.65902292728
252	 3.159	0.23501715064	1.20654284954	-0.00011540001	1.65901541710
253	 3.158	0.23487383127	1.28717589378	-0.00011478659	1.65910732746
252	 3.159	0.23494036496	1.43108713627	-0.00011511965	1.65910565853
252	 3.158	0.23511546850	1.48598241806	-0.00011459146	1.65911722183
253	 3.158	0.23502150178	1.50339579582	-0.00011491106	1.65914118290
253	 3.158	0.23498129845	1.61208796501	-0.00011540671	1.65912604332
252	 3.158	0.23518107831	1.65989553928	-0.00010807603	1.65914666653
252	 3.158	0.23508547246	1.67377316952	-0.00010702862	1.65920436382
252	 3.158	0.23503127694	1.79095017910	-0.00009011992	1.65925896168
251	 3.158	0.23516227305	1.83183014393	-0.00007901903	1.65931499004
252	 3.158	0.23500676453	1.88246595860	-0.00006022971	1.65926456451
252	 3.158	0.23494651914	1.96603775024	-0.00001010581	1.65929412842
252	 3.159	0.23489335179	2.03412890434	0.00005399101	1.65926611423
252	 3.159	0.23470953107	2.08621788025	0.00010683775	1.65934646130
252	 3.160	0.23426268995	2.16054487228	0.00018315458	1.65934681892
252	 3.162	0.23426650465	2.20744109154	0.00022923476	1.65935528278
252	 3.162	0.23419295251	2.27744269371	0.00028220934	1.65931761265
252	 3.163	0.23381528258	2.36489248276	0.00035426812	1.65935182571
251	 3.164	0.23377746344	2.39710235596	0.00038105546	1.65935397148
251	 3.164	0.23383943737	2.45677590370	0.00040691983	1.65936386585
252	 3.165	0.23364116251	2.52993988991	0.00042443202	1.65934932232
251	 3.165	0.23367801309	2.58860087395	0.00042911619	1.65934276581
251	 3.165	0.23377515376	2.71226668358	0.00043440159	1.65937602520
252	 3.165	0.23358939588	2.84783887863	0.00043742845	1.65940809250
251	 3.166	0.23365284503	2.87954354286	0.00043767854	1.65940070152
251	 3.165	0.23379456997	2.93509984016	0.00043850407	1.65936946869
252	 3.165	0.23369966447	2.93747234344	0.00043906589	1.65937888622
251	 3.166	0.23367749155	2.96074366570	0.00043896839	1.65946459770
251	 3.165	0.23381561041	2.82195854187	0.00043707760	1.65949583054
251	 3.165	0.23374268413	2.68607926369	0.00043459254	1.65948545933
251	 3.165	0.23369348049	2.61531424522	0.00043127863	1.65950274467
251	 3.165	0.23389469087	2.50800633430	0.00041938375	1.65957057476
251	 3.164	0.23386640847	2.47270226479	0.00041136908	1.65958201885
251	 3.165	0.23376598954	2.40862965584	0.00038733264	1.65963625908
250	 3.164	0.23407402635	2.30682253838	0.00030879979	1.65966200829
251	 3.163	0.23431430757	2.19440913200	0.00020597261	1.65964066982
251	 3.162	0.23431430757	2.19440913200	0.00020597261	1.65964066982
251	 3.161	0.23491093516	1.90432500839	-0.00002340669	1.65959036350
251	 3.158	0.23523284495	1.83471357822	-0.00005479516	1.65962338448
251	 3.157	0.23515129089	1.81190872192	-0.00006361960	1.65962970257
250	 3.157	0.23524726927	1.75872933865	-0.00008199627	1.65958082676
251	 3.156	0.23541963100	1.59524059296	-0.00011263899	1.65962696075
251	 3.156	0.23534104228	1.48140895367	-0.00011517564	1.65959787369
250	 3.156	0.23544768989	1.26197755337	-0.00011487622	1.65952444077
251	 3.155	0.23560118675	1.03742611408	-0.00011527658	1.65959525108
251	 3.155	0.23545314372	0.65133339167	-0.00011596176	1.65961766243
250	 3.155	0.23553258181	0.53456783295	-0.00011608175	1.65970671177
250	 3.155	0.23564355075	0.36224806309	-0.00011656059	1.65971350670
251	 3.155	0.23553517461	0.18695093691	-0.00011642827	1.65964472294
251	 3.155	0.23549559712	-0.00058048888	-0.00011667049	1.65971064568
250	 3.155	0.23573641479	-0.00058413349	-0.00011668506	1.65961802006
251	 3.155	0.23556642234	-0.00058478053	-0.00011679159	1.65968871117
