/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


208	 3.042	0.25611671805	-0.00058656163	-0.00011677699	1.65993499756
208	 3.041	0.25643751025	-0.00058667263	-0.00011687119	1.65995919704
208	 3.040	0.25627872348	0.05006190389	-0.00011696650	1.65997624397
207	 3.040	0.25646975636	0.17218582332	-0.00011785578	1.65998530388
207	 3.039	0.25666183233	0.22547066212	-0.00011687902	1.66002917290
208	 3.039	0.25648432970	0.30463674664	-0.00011681174	1.66003227234
207	 3.039	0.25657919049	0.39290526509	-0.00011712014	1.66000807285
207	 3.038	0.25679609179	0.51519268751	-0.00011640131	1.66004741192
207	 3.038	0.25664815307	0.51782715321	-0.00011658412	1.66004288197
207	 3.038	0.25680848956	0.65768009424	-0.00011996408	1.66003346443
207	 3.037	0.25692561269	0.71621602774	-0.00011600548	1.66006398201
207	 3.038	0.25672200322	0.89935564995	-0.00011621182	1.66012859344
206	 3.038	0.25694775581	1.02881848812	-0.00011538086	1.66007983685
207	 3.037	0.25695466995	1.06719577312	-0.00011518574	1.66013705730
207	 3.037	0.25691893697	1.13879871368	-0.00011524741	1.66020309925
206	 3.037	0.25712963939	1.27642655373	-0.00011519246	1.66018795967
207	 3.036	0.25710514188	1.43743157387	-0.00011461044	1.66023647785
206	 3.036	0.25700342655	1.50518381596	-0.00011477304	1.66029131413
206	 3.036	0.25740304589	1.71040809155	-0.00010787633	1.66024005413
206	 3.035	0.25721085072	1.79615724087	-0.00009732267	1.66030609608
206	 3.036	0.25711673498	1.88549470901	-0.00007532496	1.66025483608
206	 3.036	0.25723442435	1.93788897991	-0.00005401913	1.66024339199
206	 3.036	0.25705337524	2.02638530731	0.00000533524	1.66025757790
206	 3.037	0.25682941079	2.08590173721	0.00005752824	1.66031956673
206	 3.038	0.25677883625	2.15957331657	0.00012940665	1.66031277180
206	 3.039	0.25638341904	2.21624588966	0.00018577806	1.66034042835
206	 3.040	0.25621676445	2.28075551987	0.00024174133	1.66034817696
206	 3.041	0.25622639060	2.41315865517	0.00035530160	1.66037726402
206	 3.042	0.25570958853	2.48635792732	0.00039611445	1.66032314301
206	 3.044	0.25570571423	2.54933476448	0.00041455502	1.66024839878
206	 3.044	0.25579553843	2.67647862434	0.00042971433	1.66037034988
206	 3.044	0.25555032492	2.74422144890	0.00043340371	1.66038179398
205	 3.045	0.25570645928	2.84557366371	0.00043596278	1.66034817696
205	 3.044	0.25579178333	2.90154862404	0.00043718735	1.66035509109
205	 3.044	0.25561386347	2.96123719215	0.00043771134	1.66035175323
205	 3.045	0.25578707457	2.84966468811	0.00043582736	1.66041529179
205	 3.044	0.25583973527	2.76240730286	0.00043351972	1.66043078899
205	 3.044	0.25570222735	2.62740230560	0.00042634955	1.66043817997
205	 3.044	0.25595033169	2.47120690346	0.00038930014	1.66048085690
205	 3.043	0.25611782074	2.38067603111	0.00032987859	1.66045081615
205	 3.042	0.25618064404	2.32750391960	0.00027194721	1.66047656536
205	 3.041	0.25647303462	2.32601046562	0.00026876898	1.66051578522
205	 3.040	0.25647860765	2.32657527924	0.00026998337	1.66046571732
205	 3.040	0.25632053614	2.28126835823	0.00023204356	1.66048359871
205	 3.040	0.25677403808	2.24201107025	0.00019552004	1.66042435169
205	 3.039	0.25673022866	2.20877742767	0.00016263220	1.66044294834
205	 3.039	0.25685882568	2.17655205727	0.00013355265	1.66044390202
204	 3.038	0.25720137358	2.15641808510	0.00011641961	1.66043984890
205	 3.037	0.25700896978	2.09597992897	0.00006627990	1.66048061848
204	 3.037	0.25730490685	2.01193809509	0.00000852799	1.66048216820
205	 3.035	0.25753062963	1.96576964855	-0.00001818082	1.66053926945
205	 3.034	0.25748503208	1.92171585560	-0.00003961559	1.66052627563
204	 3.034	0.25764432549	1.86438870430	-0.00006377653	1.66047751904
205	 3.033	0.25782552361	1.74276757240	-0.00009830163	1.66050601006
204	 3.033	0.25771391392	1.60043823719	-0.00011478199	1.66058897972
204	 3.033	0.25800418854	1.46863603592	-0.00011482909	1.66060483456
204	 3.032	0.25801393390	1.22289085388	-0.00011523841	1.66066050529
205	 3.032	0.25793892145	1.04447424412	-0.00011522944	1.66062808037
204	 3.032	0.25812292099	0.72219163179	-0.00011552437	1.66059422493
204	 3.031	0.25810682774	0.53245371580	-0.00011621630	1.66068959236
204	 3.032	0.25801232457	0.37540733814	-0.00011636881	1.66067242622
204	 3.032	0.25821912289	0.21718721092	-0.00011669627	1.66067397594
204	 3.031	0.25812000036	0.13443127275	-0.00011707867	1.66061663628
204	 3.032	0.25809833407	0.03086169809	-0.00011680841	1.66057407856
204	 3.031	0.25826823711	-0.00058393052	-0.00011685776	1.66060042381
