/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


146	 2.847	0.29715189338	-0.00058698322	-0.00011698782	1.66120815277
145	 2.846	0.29757559299	-0.00058659178	-0.00011658748	1.66122686863
146	 2.845	0.29724177718	-0.00058661756	-0.00011646860	1.66131484509
145	 2.846	0.29745784402	-0.00058640901	-0.00011700689	1.66134190559
146	 2.845	0.29764276743	-0.00058663782	-0.00011665028	1.66138470173
145	 2.845	0.29742765427	-0.00058661756	-0.00011697436	1.66137385368
145	 2.845	0.29779201746	-0.00058630703	-0.00011674335	1.66135287285
146	 2.844	0.29764524102	0.03473218903	-0.00011656841	1.66138923168
145	 2.845	0.29766038060	0.04159601033	-0.00011686670	1.66140937805
145	 2.844	0.29794731736	0.08119299263	-0.00011745768	1.66141939163
145	 2.844	0.29773381352	0.11776277423	-0.00011665811	1.66142189503
144	 2.844	0.29787853360	0.16155345738	-0.00011542680	1.66144394875
145	 2.843	0.29808518291	0.15566596389	-0.00011660092	1.66143035889
145	 2.843	0.29776105285	0.19141393900	-0.00011736684	1.66148972511
144	 2.843	0.29809349775	0.31339606643	-0.00011708312	1.66147470474
145	 2.842	0.29804572463	0.34016221762	-0.00011591797	1.66149079800
145	 2.843	0.29803976417	0.46449008584	-0.00011691827	1.66146337986
144	 2.843	0.29831573367	0.49415844679	-0.00011640690	1.66143119335
145	 2.842	0.29802298546	0.65373748541	-0.00011623196	1.66141128540
144	 2.843	0.29814603925	0.69963723421	-0.00011571386	1.66138744354
144	 2.842	0.29829406738	0.96690005064	-0.00011562751	1.66140091419
145	 2.842	0.29808589816	1.06536781788	-0.00011553892	1.66141307354
144	 2.843	0.29831230640	1.13957965374	-0.00011510493	1.66142106056
145	 2.842	0.29831340909	1.28894495964	-0.00011490195	1.66140007973
144	 2.842	0.29824289680	1.31750464439	-0.00011505670	1.66143715382
144	 2.842	0.29847022891	1.46810102463	-0.00011208942	1.66149091721
144	 2.842	0.29829451442	1.47308516502	-0.00011476176	1.66146838665
144	 2.842	0.29841464758	1.49913120270	-0.00011498605	1.66150891781
144	 2.841	0.29858908057	1.59272134304	-0.00011445673	1.66153919697
144	 2.842	0.29838630557	1.65597152710	-0.00011335438	1.66147696972
144	 2.842	0.29855045676	1.66702532768	-0.00011336784	1.66145908833
144	 2.841	0.29838258028	1.66898214817	-0.00011291367	1.66150832176
144	 2.842	0.29837816954	1.71539473534	-0.00010190583	1.66155207157
144	 2.841	0.29865974188	1.72810018063	-0.00011174292	1.66150808334
144	 2.841	0.29848897457	1.77476608753	-0.00010796711	1.66150486469
144	 2.842	0.29853910208	1.80197000504	-0.00010604163	1.66151201725
144	 2.841	0.29873010516	1.82336366177	-0.00010477443	1.66145634651
144	 2.841	0.29836407304	1.92519867420	-0.00008578769	1.66144299507
144	 2.842	0.29875311255	1.97521185875	-0.00007884613	1.66153836250
144	 2.841	0.29846161604	2.03537130356	-0.00005292903	1.66155552864
143	 2.842	0.29827913642	2.11888599396	0.00000405695	1.66148889065
144	 2.842	0.29818698764	2.17853188515	0.00006087465	1.66149818897
