/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


48	 2.391	0.42412480712	-0.00058692554	-0.00011713234	1.66337931156
49	 2.389	0.42336532474	-0.00058707688	-0.00011678246	1.66338276863
48	 2.390	0.42345398664	0.03706083819	-0.00011654360	1.66343915462
47	 2.388	0.42524093390	0.16262429953	-0.00011678694	1.66342484951
48	 2.386	0.42410188913	0.27750793099	-0.00011640902	1.66344070435
47	 2.388	0.42481145263	0.34776479006	-0.00011656265	1.66334247589
47	 2.385	0.42555952072	0.43012318015	-0.00011680264	1.66338133812
48	 2.385	0.42475366592	0.61301386356	-0.00011694281	1.66338694096
47	 2.385	0.42593136430	0.70810461044	-0.00011637536	1.66332399845
47	 2.383	0.42586567998	0.85549080372	-0.00011634060	1.66339802742
47	 2.384	0.42560616136	1.08168268204	-0.00011523376	1.66335451603
46	 2.383	0.42685934901	1.21118915081	-0.00011529542	1.66339373589
47	 2.381	0.42652603984	1.29230880737	-0.00011515188	1.66342699528
47	 2.382	0.42646163702	1.47644901276	-0.00011528308	1.66345727444
46	 2.380	0.42799207568	1.51244556904	-0.00011469097	1.66348886490
46	 2.378	0.42720043659	1.64295005798	-0.00011494666	1.66353285313
46	 2.379	0.42765095830	1.70187890530	-0.00011502404	1.66341269016
48	 2.378	0.42687845230	1.77837288380	-0.00011390710	1.66342437267
49	 2.382	0.42381635308	1.77647602558	-0.00011380056	1.66346907616
48	 2.388	0.42361807823	1.90914368629	-0.00011050244	1.66348695755
49	 2.389	0.42383068800	1.96105766296	-0.00010726602	1.66346883774
49	 2.390	0.42276647687	2.03590822220	-0.00010086942	1.66348934174
48	 2.391	0.42349046469	2.15926647186	-0.00007689563	1.66351151466
49	 2.390	0.42329573631	2.18356513977	-0.00006741961	1.66352868080
48	 2.392	0.42250376940	2.23090791702	-0.00005178811	1.66355240345
48	 2.392	0.42320758104	2.36298632622	-0.00000643215	1.66355872154
49	 2.392	0.42197349668	2.37108707428	0.00007494946	1.66352987289
48	 2.396	0.42147979140	2.40178251266	0.00010332932	1.66353309155
48	 2.396	0.42195719481	2.50784468651	0.00018452590	1.66357719898
48	 2.397	0.42009943724	2.57950973511	0.00027177366	1.66358542442
48	 2.400	0.41997122765	2.62899303436	0.00031564818	1.66360139847
48	 2.401	0.42002728581	2.67020630836	0.00034866607	1.66364645958
48	 2.402	0.41878417134	2.71780467033	0.00037489054	1.66368186474
48	 2.404	0.41952151060	2.74559187889	0.00038616869	1.66371846199
48	 2.403	0.41918507218	2.75441217422	0.00038953609	1.66369438171
48	 2.405	0.41845378280	2.84209704399	0.00041266877	1.66367018223
48	 2.406	0.41943895817	2.85012555122	0.00041425784	1.66371095181
48	 2.404	0.41872039437	2.93081307411	0.00042474200	1.66376817226
48	 2.407	0.41850399971	2.95811676979	0.00042683538	1.66374003887
48	 2.406	0.41932648420	2.85680317879	0.00041561769	1.66382086277
48	 2.406	0.41816359758	2.83454203606	0.00041192037	1.66385304928
48	 2.408	0.41871970892	2.75647044182	0.00038839632	1.66389226913
48	 2.406	0.41926378012	2.74172592163	0.00038462610	1.66387629509
