/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


1019	 4.427	0.09999951720	-0.00058680610	-0.00011564510	1.69667470455
1019	 4.417	0.09988658130	-0.00058634410	-0.00011596021	1.69673800468
1019	 4.418	0.09991555661	-0.00058640365	-0.00011591983	1.69668555260
1019	 4.426	0.09989116341	-0.00058680848	-0.00011570115	1.69667267799
1019	 4.417	0.10023196042	0.06111324951	-0.00011585029	1.69671154022
1019	 4.423	0.09998153150	0.10637760162	-0.00011542078	1.69668543339
1019	 4.429	0.09995164722	0.14718535542	-0.00011700088	1.69668114185
1019	 4.417	0.09993735701	0.15394194424	-0.00011698518	1.69666278362
1019	 4.420	0.10020676255	0.17661619186	-0.00011572806	1.69663596153
1019	 4.423	0.10007518530	0.20178955793	-0.00011508771	1.69663906097
1019	 4.414	0.10018417239	0.22318080068	-0.00011520996	1.69664812088
1019	 4.420	0.10030714422	0.30316886306	-0.00011552956	1.69661843777
1019	 4.426	0.10005545616	0.33185666800	-0.00011514043	1.69663155079
1019	 4.430	0.10041493922	0.37215474248	-0.00011463466	1.69664466381
1019	 4.417	0.10027723759	0.43072491884	-0.00011484100	1.69662594795
1019	 4.420	0.10023076087	0.46424168348	-0.00011493744	1.69666397572
1019	 4.422	0.10031964630	0.47719469666	-0.00011522901	1.69664895535
1018	 4.410	0.10013972968	0.50142085552	-0.00011497221	1.69665563107
1018	 4.416	0.10028914362	0.53571289778	-0.00011499351	1.69669306278
1019	 4.413	0.10061280429	0.61510390043	-0.00011465036	1.69668090343
1019	 4.421	0.10022784770	0.63533556461	-0.00011512025	1.69671964645
1019	 4.418	0.10020070523	0.67035883665	-0.00011484325	1.69675397873
1019	 4.424	0.10034210235	0.72542738914	-0.00011476138	1.69676506519
1018	 4.426	0.10049113631	0.80372303724	-0.00011490941	1.69670641422
1018	 4.418	0.10053112358	0.88783931732	-0.00011749207	1.69671297073
1018	 4.421	0.10031879693	0.95949047804	-0.00011425898	1.69674062729
1019	 4.418	0.10037586093	0.97377854586	-0.00011489147	1.69669127464
1018	 4.423	0.10045360029	0.99232274294	-0.00011514043	1.69666528702
1019	 4.410	0.10041947663	1.01995658875	-0.00011476251	1.69665002823
1019	 4.415	0.10059186816	1.02607846260	-0.00011441936	1.69671440125
1019	 4.418	0.10045160353	1.09325194359	-0.00011430274	1.69673800468
1019	 4.415	0.10038577020	1.13132619858	-0.00011380370	1.69676232338
1019	 4.419	0.10045368969	1.18873190880	-0.00010936621	1.69673240185
1019	 4.424	0.10054098070	1.21639966965	-0.00010487825	1.69671559334
1019	 4.412	0.10055112839	1.31551682949	-0.00006724981	1.69677531719
1019	 4.417	0.10050222278	1.37802016735	-0.00002765549	1.69681501389
1019	 4.414	0.10039150715	1.42596006393	0.00002056038	1.69678008556
1019	 4.417	0.10050499439	1.44031119347	0.00003646113	1.69671881199
1019	 4.421	0.10069879144	1.45494186878	0.00006008851	1.69674754143
1019	 4.421	0.10059995949	1.48613440990	0.00009082912	1.69671523571
1019	 4.425	0.10062188655	1.53993105888	0.00018424644	1.69667994976
