T/K p/mmHg
1.5 3.0688
1.55 4.566
1.6 5.7054
1.65 7.0476
1.7 8.6136
1.75 10.424
1.8 12.5
1.85 14.861
1.9 17.526
1.95 20.511
2.0 23.832
2.05 27.498
2.1 31.514
2.15 35.878
2.2 40.576
2.25 45.655
2.3 51.151
2.35 57.085
2.4 63.476
2.45 70.343
2.5 77.704
2.55 85.579
2.6 93.988
2.65 102.95
2.7 112.48
2.75 122.59
2.8 133.31
2.85 144.65
2.9 156.63
2.95 169.26
3.0 175.51
3.05 196.57
3.1 211.28
3.15 226.73
3.2 242.92
3.25 259.89
3.3 277.63
3.35 296.18
3.4 315.55
3.45 335.76
3.5 356.81
3.55 378.74
3.6 401.56
3.65 425.28
3.7 449.92
3.75 475.51
3.8 502.05
3.85 529.57
3.9 558.09
3.95 587.63
4.0 618.21
4.05 649.86
4.1 682.59
4.15 716.42
4.2 751.37
4.25 787.43
4.3 824.65
